ward code,ward name,local authority code,local authority name,All usual residents,Females,Males,Lives in a household,Lives in a communal establishment,Area; Hectares,Density; persons per hectare,,,
E05011471,New Addington South,E09000008,Croydon,11190,5863,5327,11123,72,,,,,
E05011472,Norbury & Pollards Hill,E09000008,Croydon,12467,6555,5912,12375,104,,,,,
E05011473,Norbury Park,E09000008,Croydon,10558,5457,5101,10516,42,,,,,
E05011474,Old Coulsdon,E09000008,Croydon,9760,5107,4653,9742,13,,,,,
E05011475,Park Hill & Whitgift,E09000008,Croydon,5763,2912,2851,5686,80,,,,,
E05011476,Purley & Woodcote,E09000008,Croydon,16551,8568,7983,16075,479,,,,,
E05011477,Purley Oaks & Riddlesdown,E09000008,Croydon,10516,5411,5105,10484,36,,,,,
E05011478,Sanderstead,E09000008,Croydon,15503,8031,7472,15373,139,,,,,
E05011479,Selhurst,E09000008,Croydon,12928,6790,6138,12838,93,,,,,
E05011480,Selsdon & Addington Village,E09000008,Croydon,10317,5378,4939,10210,108,,,,,
E05011481,Selsdon Vale & Forestdale,E09000008,Croydon,9702,5094,4608,9697,1,,,,,
E05011482,Shirley North,E09000008,Croydon,15331,8147,7184,15319,6,,,,,
E05011483,Shirley South,E09000008,Croydon,10785,5729,5056,10700,87,,,,,
E05011484,South Croydon,E09000008,Croydon,17190,8808,8382,16943,260,,,,,
E05011485,South Norwood,E09000008,Croydon,16519,8715,7804,16362,166,,,,,
E05011486,Thornton Heath,E09000008,Croydon,17989,9505,8484,17867,110,,,,,
E05011487,Waddon,E09000008,Croydon,18492,9578,8914,18222,267,,,,,
E05011488,West Thornton,E09000008,Croydon,18768,9745,9023,18636,122,,,,,
E05011489,Woodside,E09000008,Croydon,17064,9062,8002,17036,16,,,,,
E05013518,Central Greenford,E09000009,Ealing,13963,7010,6953,13922,42,,,,,
E05013519,Dormers Wells,E09000009,Ealing,15186,7658,7528,15058,124,,,,,
E05013520,Ealing Broadway,E09000009,Ealing,14231,7219,7012,14089,147,,,,,
E05013521,Ealing Common,E09000009,Ealing,15782,8043,7739,15570,207,,,,,
E05013522,East Acton,E09000009,Ealing,16017,8240,7777,15992,28,,,,,
E05013523,Greenford Broadway,E09000009,Ealing,17030,8785,8245,16933,93,,,,,
E05013524,Hanger Hill,E09000009,Ealing,16818,8478,8340,16738,89,,,,,
E05013525,Hanwell Broadway,E09000009,Ealing,15099,7874,7225,14983,123,,,,,
E05013526,Lady Margaret,E09000009,Ealing,16133,7993,8140,15923,208,,,,,
E05013527,North Acton,E09000009,Ealing,18371,9326,9045,16335,2034,,,,,
E05013528,North Greenford,E09000009,Ealing,16135,8130,8005,16133,0,,,,,
E05013529,North Hanwell,E09000009,Ealing,15043,7756,7287,14948,84,,,,,
E05013530,Northfield,E09000009,Ealing,14456,7488,6968,14442,3,,,,,
E05013531,Northolt Mandeville,E09000009,Ealing,17361,8896,8465,17354,23,,,,,
E05013532,Northolt West End,E09000009,Ealing,16530,8451,8079,16521,21,,,,,
E05013533,Norwood Green,E09000009,Ealing,15455,7715,7740,15146,310,,,,,
E05013534,Perivale,E09000009,Ealing,16214,7935,8279,16171,41,,,,,
E05013535,Pitshanger,E09000009,Ealing,15166,7915,7251,15017,148,,,,,
E05013536,South Acton,E09000009,Ealing,17107,8850,8257,16900,201,,,,,
E05013537,Southall Broadway,E09000009,Ealing,10964,5250,5714,10876,91,,,,,
E05013538,Southall Green,E09000009,Ealing,16331,7889,8442,16283,49,,,,,
E05013539,Southall West,E09000009,Ealing,6805,3304,3501,6803,1,,,,,
E05013540,Southfield,E09000009,Ealing,16239,8548,7691,16227,10,,,,,
E05013541,Walpole,E09000009,Ealing,14656,7441,7215,14523,129,,,,,
E05013672,Arnos Grove,E09000010,Enfield,8878,4494,4384,8824,57,,,,,
E05013673,Bowes,E09000010,Enfield,10711,5426,5285,10699,15,,,,,
E05013674,Brimsdown,E09000010,Enfield,16290,8535,7755,16250,35,,,,,
E05013675,Bullsmoor,E09000010,Enfield,11374,5991,5383,11269,104,,,,,
E05013676,Bush Hill Park,E09000010,Enfield,13007,6676,6331,12827,187,,,,,
E05013677,Carterhatch,E09000010,Enfield,12808,6805,6003,12745,61,,,,,
E05013678,Cockfosters,E09000010,Enfield,10155,5320,4835,9984,172,,,,,
E05013679,Edmonton Green,E09000010,Enfield,17052,9100,7952,17026,27,,,,,
E05013680,Enfield Lock,E09000010,Enfield,17870,9527,8343,17836,39,,,,,
E05013681,Grange Park,E09000010,Enfield,8598,4434,4164,8559,35,,,,,
E05013682,Haselbury,E09000010,Enfield,18314,9540,8774,18236,61,,,,,
E05013683,Highfield,E09000010,Enfield,9547,4832,4715,9517,28,,,,,
E05013684,Jubilee,E09000010,Enfield,16375,8575,7800,16245,134,,,,,
E05013685,Lower Edmonton,E09000010,Enfield,16518,8810,7708,16492,29,,,,,
E05013686,New Southgate,E09000010,Enfield,11119,5690,5429,11092,35,,,,,
E05013687,Oakwood,E09000010,Enfield,8692,4539,4153,8643,59,,,,,
E05013688,Palmers Green,E09000010,Enfield,10837,5525,5312,10676,153,,,,,
E05013689,Ponders End,E09000010,Enfield,13499,7162,6337,13476,20,,,,,
E05013690,Ridgeway,E09000010,Enfield,12787,6779,6008,12733,51,,,,,
E05013691,Southbury,E09000010,Enfield,15339,8097,7242,15309,33,,,,,
E05013692,Southgate,E09000010,Enfield,15215,7853,7362,15073,147,,,,,
E05013693,Town,E09000010,Enfield,13330,7008,6322,13276,54,,,,,
E05013694,Upper Edmonton,E09000010,Enfield,16830,8768,8062,16710,118,,,,,
E05013695,Whitewebbs,E09000010,Enfield,14387,7600,6787,14281,113,,,,,
E05013696,Winchmore Hill,E09000010,Enfield,10441,5371,5070,10339,99,,,,,
E05014072,Abbey Wood,E09000011,Greenwich,17421,8898,8523,17282,135,,,,,
E05014073,Blackheath Westcombe,E09000011,Greenwich,14965,7823,7142,14824,132,,,,,
E05014074,Charlton Hornfair,E09000011,Greenwich,12551,6471,6080,12520,29,,,,,
E05014075,Charlton Village & Riverside,E09000011,Greenwich,10299,5277,5022,10225,70,,,,,
E05014076,East Greenwich,E09000011,Greenwich,14424,7376,7048,14406,13,,,,,
E05014077,Eltham Page,E09000011,Greenwich,9947,5135,4812,9937,10,,,,,
E05014078,Eltham Park & Progress,E09000011,Greenwich,10445,5454,4991,10440,0,,,,,
E05014079,Eltham Town & Avery Hill,E09000011,Greenwich,15532,8171,7361,14923,600,,,,,
E05014080,Greenwich Creekside,E09000011,Greenwich,11213,5860,5353,10450,745,,,,,
E05014081,Greenwich Park,E09000011,Greenwich,10353,5344,5009,9982,376,,,,,
E05014082,Greenwich Peninsula,E09000011,Greenwich,11481,5804,5677,11263,218,,,,,
E05014083,Kidbrooke Park,E09000011,Greenwich,10153,5239,4914,10107,50,,,,,
E05014084,Kidbrooke Village & Sutcliffe,E09000011,Greenwich,5941,3130,2811,5894,52,,,,,
E05014085,Middle Park & Horn Park,E09000011,Greenwich,9749,5182,4567,9710,39,,,,,
E05014086,"Mottingham, Coldharbour & New Eltham",E09000011,Greenwich,14512,7375,7137,14433,77,,,,,
E05014087,Plumstead & Glyndon,E09000011,Greenwich,21781,11054,10727,21695,83,,,,,
E05014088,Plumstead Common,E09000011,Greenwich,15622,8164,7458,15534,79,,,,,
E05014089,Shooters Hill,E09000011,Greenwich,11878,6101,5777,11821,71,,,,,
E05014090,Thamesmead Moorings,E09000011,Greenwich,12392,6416,5976,12313,75,,,,,
E05014091,West Thamesmead,E09000011,Greenwich,11801,5449,6352,10450,1346,,,,,
E05014092,Woolwich Arsenal,E09000011,Greenwich,12221,6196,6025,12223,5,,,,,
E05014093,Woolwich Common,E09000011,Greenwich,13069,6825,6244,12933,136,,,,,
E05014094,Woolwich Dockyard,E09000011,Greenwich,11384,5874,5510,11298,77,,,,,
E05009367,Brownswood,E09000012,Hackney,8988,4705,4283,8955,40,,,,,
E05009368,Cazenove,E09000012,Hackney,15211,7880,7331,15210,0,,,,,
E05009369,Clissold,E09000012,Hackney,12497,6676,5821,12498,5,,,,,
E05009370,Dalston,E09000012,Hackney,9012,4545,4467,8921,91,,,,,
E05009371,De Beauvoir,E09000012,Hackney,9025,4663,4362,9031,0,,,,,
E05009372,Hackney Central,E09000012,Hackney,12892,6797,6095,12893,7,,,,,
E05009373,Hackney Downs,E09000012,Hackney,12997,6851,6146,12979,21,,,,,
E05009374,Hackney Wick,E09000012,Hackney,12357,6383,5974,12052,308,,,,,
E05009375,Haggerston,E09000012,Hackney,14436,7487,6949,14345,98,,,,,
E05009376,Homerton,E09000012,Hackney,13201,7064,6137,12443,755,,,,,
E05009377,Hoxton East & Shoreditch,E09000012,Hackney,12089,6187,5902,11773,310,,,,,
E05009378,Hoxton West,E09000012,Hackney,13803,7125,6678,13437,376,,,,,
E05009379,King's Park,E09000012,Hackney,13283,7031,6252,13272,13,,,,,
E05009380,Lea Bridge,E09000012,Hackney,14453,7599,6854,14362,92,,,,,
E05009381,London Fields,E09000012,Hackney,12309,6367,5942,12287,17,,,,,
E05009382,Shacklewell,E09000012,Hackney,8770,4567,4203,8753,15,,,,,
E05009383,Springfield,E09000012,Hackney,15343,8032,7311,15338,2,,,,,
E05009384,Stamford Hill West,E09000012,Hackney,10314,5293,5021,10197,115,,,,,
E05009385,Stoke Newington,E09000012,Hackney,13573,7165,6408,13548,29,,,,,
E05009386,Victoria,E09000012,Hackney,12232,6492,5740,12126,108,,,,,
E05009387,Woodberry Down,E09000012,Hackney,12327,6385,5942,12210,119,,,,,
E05013733,Addison,E09000013,Hammersmith and Fulham,7808,4117,3691,7759,46,,,,,
E05013734,Avonmore,E09000013,Hammersmith and Fulham,7534,4066,3468,7402,132,,,,,
E05013735,Brook Green,E09000013,Hammersmith and Fulham,8088,4296,3792,7931,154,,,,,
E05013736,College Park & Old Oak,E09000013,Hammersmith and Fulham,9987,5118,4869,9050,936,,,,,
E05013737,Coningham,E09000013,Hammersmith and Fulham,10815,5659,5156,10597,224,,,,,
E05013738,Fulham Reach,E09000013,Hammersmith and Fulham,11586,6063,5523,11442,136,,,,,
E05013739,Fulham Town,E09000013,Hammersmith and Fulham,7466,4071,3395,7446,20,,,,,
E05013740,Grove,E09000013,Hammersmith and Fulham,7442,3883,3559,7433,14,,,,,
E05013741,Hammersmith Broadway,E09000013,Hammersmith and Fulham,7641,4056,3585,7573,69,,,,,
E05013742,Lillie,E09000013,Hammersmith and Fulham,6651,3445,3206,6624,30,,,,,
E05013743,Munster,E09000013,Hammersmith and Fulham,12421,6723,5698,12418,1,,,,,
E05013744,Palace & Hurlingham,E09000013,Hammersmith and Fulham,11498,6187,5311,11506,4,,,,,
E05013745,Parsons Green & Sandford,E09000013,Hammersmith and Fulham,7912,4168,3744,7880,29,,,,,
E05013746,Ravenscourt,E09000013,Hammersmith and Fulham,6978,3653,3325,6593,385,,,,,
E05013747,Sands End,E09000013,Hammersmith and Fulham,10930,5928,5002,10874,65,,,,,
E05013748,Shepherd's Bush Green,E09000013,Hammersmith and Fulham,5623,2943,2680,5587,37,,,,,
E05013749,Walham Green,E09000013,Hammersmith and Fulham,7743,4119,3624,7717,19,,,,,
E05013750,Wendell Park,E09000013,Hammersmith and Fulham,7439,3971,3468,7426,7,,,,,
E05013751,West Kensington,E09000013,Hammersmith and Fulham,9494,5012,4482,9464,40,,,,,
E05013752,White City,E09000013,Hammersmith and Fulham,10288,5494,4794,10279,3,,,,,
E05013753,Wormholt,E09000013,Hammersmith and Fulham,7814,4242,3572,7596,217,,,,,
E05013585,Alexandra Park,E09000014,Haringey,9065,4730,4335,9069,3,,,,,
E05013586,Bounds Green,E09000014,Haringey,9747,5142,4605,9732,11,,,,,
E05013587,Bruce Castle,E09000014,Haringey,14033,7320,6713,13923,110,,,,,
E05013588,Crouch End,E09000014,Haringey,12982,6817,6165,12978,12,,,,,
E05013589,Fortis Green,E09000014,Haringey,12884,6763,6121,12668,221,,,,,
E05013590,Harringay,E09000014,Haringey,14422,7259,7163,14412,5,,,,,
E05013591,Hermitage & Gardens,E09000014,Haringey,8947,4613,4334,8892,53,,,,,
E05013592,Highgate,E09000014,Haringey,12480,6510,5970,12444,35,,,,,
E05013593,Hornsey,E09000014,Haringey,14719,7716,7003,14661,51,,,,,
E05013594,Muswell Hill,E09000014,Haringey,8840,4570,4270,8713,126,,,,,
E05013595,Noel Park,E09000014,Haringey,13682,7082,6600,13604,75,,,,,
E05013596,Northumberland Park,E09000014,Haringey,14838,7751,7087,14762,62,,,,,
E05013597,St Ann's,E09000014,Haringey,10278,5230,5048,10228,54,,,,,
E05013598,Seven Sisters,E09000014,Haringey,9408,4799,4609,9300,105,,,,,
E05013599,South Tottenham,E09000014,Haringey,17124,8688,8436,16913,206,,,,,
E05013600,Stroud Green,E09000014,Haringey,10921,5755,5166,10878,44,,,,,
E05013601,Tottenham Central,E09000014,Haringey,14388,7392,6996,14370,14,,,,,
E05013602,Tottenham Hale,E09000014,Haringey,11934,6203,5731,11007,931,,,,,
E05013603,West Green,E09000014,Haringey,14708,7673,7035,14692,24,,,,,
E05013604,White Hart Lane,E09000014,Haringey,13433,7100,6333,13431,8,,,,,
E05013605,Woodside,E09000014,Haringey,15402,7890,7512,15388,19,,,,,
E05013542,Belmont,E09000015,Harrow,9142,4620,4522,9143,7,,,,,
E05013543,Canons,E09000015,Harrow,9127,4733,4394,9117,10,,,,,
E05013544,Centenary,E09000015,Harrow,14546,7146,7400,14519,22,,,,,
E05013545,Edgware,E09000015,Harrow,15986,7952,8034,15932,63,,,,,
E05013546,Greenhill,E09000015,Harrow,11431,5737,5694,11274,139,,,,,
E05013547,Harrow on the Hill,E09000015,Harrow,10802,5158,5644,9881,927,,,,,
E05013548,Harrow Weald,E09000015,Harrow,14540,7501,7039,14294,241,,,,,
E05013549,Hatch End,E09000015,Harrow,9588,5066,4522,9545,48,,,,,
E05013550,Headstone,E09000015,Harrow,15071,7595,7476,15056,5,,,,,
E05013551,Kenton East,E09000015,Harrow,14596,7278,7318,14578,16,,,,,
E05013552,Kenton West,E09000015,Harrow,9583,4832,4751,9492,90,,,,,
E05013553,Marlborough,E09000015,Harrow,11377,5771,5606,11205,166,,,,,
E05013554,North Harrow,E09000015,Harrow,9234,4692,4542,9226,11,,,,,
E05013555,Pinner,E09000015,Harrow,13263,6895,6368,13188,76,,,,,
E05013556,Pinner South,E09000015,Harrow,15096,7729,7367,15093,6,,,,,
E05013557,Rayners Lane,E09000015,Harrow,9620,4764,4856,9617,7,,,,,
E05013558,Roxbourne,E09000015,Harrow,9820,5049,4771,9788,33,,,,,
E05013559,Roxeth,E09000015,Harrow,15757,8034,7723,15750,9,,,,,
E05013560,Stanmore,E09000015,Harrow,13680,7286,6394,13500,190,,,,,
E05013561,Wealdstone North,E09000015,Harrow,10360,5303,5057,10345,21,,,,,
E05013562,Wealdstone South,E09000015,Harrow,8084,4011,4073,7976,107,,,,,
E05013563,West Harrow,E09000015,Harrow,10498,5249,5249,10494,3,,,,,
E05013967,Beam Park,E09000016,Havering,5240,2703,2537,5239,0,,,,,
E05013968,Cranham,E09000016,Havering,12965,6789,6176,12941,20,,,,,
E05013969,Elm Park,E09000016,Havering,16434,8519,7915,16437,0,,,,,
E05013970,Emerson Park,E09000016,Havering,9196,4666,4530,9142,62,,,,,
E05013971,Gooshays,E09000016,Havering,17391,8999,8392,17294,94,,,,,
E05013972,Hacton,E09000016,Havering,9088,4679,4409,9056,35,,,,,
E05013973,Harold Wood,E09000016,Havering,13952,7212,6740,13847,103,,,,,
E05013974,Havering-atte-Bower,E09000016,Havering,16289,8554,7735,16062,238,,,,,
E05013975,Heaton,E09000016,Havering,17602,9144,8458,17523,80,,,,,
E05013976,Hylands & Harrow Lodge,E09000016,Havering,14193,7358,6835,14167,21,,,,,
E05013977,Marshalls & Rise Park,E09000016,Havering,13069,6629,6440,12991,72,,,,,
E05013978,Mawneys,E09000016,Havering,14525,7570,6955,14498,28,,,,,
E05013979,Rainham & Wennington,E09000016,Havering,13571,7038,6533,13538,27,,,,,
E05013980,Rush Green & Crowlands,E09000016,Havering,15802,8237,7565,15632,174,,,,,
E05013981,St Alban's,E09000016,Havering,8244,4258,3986,8171,70,,,,,
E05013982,St Andrew's,E09000016,Havering,14256,7384,6872,14182,82,,,,,
E05013983,St Edward's,E09000016,Havering,10656,5570,5086,10520,135,,,,,
E05013984,South Hornchurch,E09000016,Havering,10533,5345,5188,10485,44,,,,,
E05013985,Squirrels Heath,E09000016,Havering,15704,8094,7610,15636,61,,,,,
